section_id,act_id,chapter_id,section_number,heading,full_text
BNS_2023_s11,BNS_2023,BNS_2023_CH_II,11,Solitary confinement,"Solitary confinement.—Whenever any person is convicted of an offence for which under this 
Sanhita the Court has power to sentence him to rigorous imprisonment, the Court may, by its sentence,

order that the offender shall be kept in solitary confinement for any portion or portions of the 
imprisonment to which he is sentenced, not exceeding three months in the whole, according to the 
following scale, namely: — 
(a) a time not exceeding one month if the term of imprisonment shall not exceed six months; 
(b) a time not exceeding two months if the term of imprisonment shall exceed six months and 
shall not exceed one year; 
(c) a time not exceeding three months if the term of imprisonment shall exceed one year."
BNS_2023_s12,BNS_2023,BNS_2023_CH_II,12,Limit of solitary confinement,"Limit of solitary confinement.—In executing a sentence of solitary confinement, such 
confinement shall in no case exceed fourteen days at a time, with intervals between the periods of solitary 
confinement of not less duration than such periods; and when the imprisonment awarded shall exceed 
three months, the solitary confinement shall not exceed seven days in any one month of the whole 
imprisonment awarded, with intervals between the periods of solitary confinement of not less duration 
than such periods."
BNS_2023_s13,BNS_2023,BNS_2023_CH_II,13,Enhanced punishment for certain offences after previous conviction,"Enhanced punishment for certain offences after previous conviction.—Whoever, having been 
convicted by a Court in India, of an offence punishable under Chapter X or Chapter XVII of this Sanhita 
with imprisonment of either description for a term of three years or upwards, shall be guilty of any 
offence punishable under either of those Chapters with like imprisonment for the like term, shall be 
subject for every such subsequent offence to imprisonment for life, or to imprisonment of either 
description for a term which may extend to ten years. 

CHAPTER III 
GENERAL EXCEPTIONS"
BNS_2023_s14,BNS_2023,BNS_2023_CH_III,14,"Act done by a person bound, or by mistake of fact believing himself bound, by law","Act done by a person bound, or by mistake of fact believing himself bound, by law.—
Nothing is an offence which is done by a person who is, or who by reason of a mistake of fact and not by 
reason of a mistake of law in good faith believes himself to be, bound by law to do it. 
(a) A, a soldier, fires on a mob by the order of his superior officer, in conformity with the 
commands of the law. A has committed no offence. 
(b) A, an officer of a Court, being ordered by that Court to arrest Y, and, after due enquiry, 
believing Z to be Y, arrests Z. A has committed no offence."
BNS_2023_s15,BNS_2023,BNS_2023_CH_III,15,Act of Judge when acting judicially,"Act of Judge when acting judicially.—Nothing is an offence which is done by a Judge when 
acting judicially in the exercise of any power which is, or which in good faith he believes to be, given to 
him by law."
BNS_2023_s16,BNS_2023,BNS_2023_CH_III,16,Act done pursuant to judgment or order of Court,"Act done pursuant to judgment or order of Court.—Nothing which is done in pursuance of, or 
which is warranted by the judgment or order of, a Court; if done whilst such judgment or order remains in 
force, is an offence, notwithstanding the Court may have had no jurisdiction to pass such judgment or 
order, provided the person doing the act in good faith believes that the Court had such jurisdiction."
BNS_2023_s17,BNS_2023,BNS_2023_CH_III,17,"Act done by a person justified, or by mistake of fact believing himself justified, by law","Act done by a person justified, or by mistake of fact believing himself justified, by law.—
Nothing is an offence which is done by any person who is justified by law, or who by reason of a mistake 
of fact and not by reason of a mistake of law in good faith, believes himself to be justified by law, in 
doing it.

A sees Z commit what appears to A to be a murder. A, in the exercise, to the best of his judgment 
exerted in good faith, of the power which the law gives to all persons of apprehending murderers in the 
fact, seizes Z, in order to bring Z before the proper authorities. A has committed no offence, though it 
may turn out that Z was acting in self-defence."
BNS_2023_s18,BNS_2023,BNS_2023_CH_III,18,Accident in doing a lawful act,"Accident in doing a lawful act.—Nothing is an offence which is done by accident or misfortune, 
and without any criminal intention or knowledge in the doing of a lawful act in a lawful manner by lawful 
means and with proper care and caution. 
A is at work with a hatchet; the head flies off and kills a man who is standing by. Here, if there was 
no want of proper caution on the part of A, his act is excusable and not an offence."
BNS_2023_s19,BNS_2023,BNS_2023_CH_III,19,"Act likely to cause harm, but done without criminal intent, and to prevent other harm","Act likely to cause harm, but done without criminal intent, and to prevent other harm.—
Nothing is an offence merely by reason of its being done with the knowledge that it is likely to cause 
harm, if it be done without any criminal intention to cause harm, and in good faith for the purpose of 
preventing or avoiding other harm to person or property. 
Explanation.—It is a question of fact in such a case whether the harm to be prevented or avoided was 
of such a nature and so imminent as to justify or excuse the risk of doing the act with the knowledge that 
it was likely to cause harm. 
(a) A, the captain of a vessel, suddenly and without any fault or negligence on his part, finds himself 
in such a position that, before he can stop his vessel, he must inevitably run down a boat B, with twenty 
or thirty passengers on board, unless he changes the course of his vessel, and that, by changing his 
course, he must incur risk of running down a boat C with only two passengers on board, which he may 
possibly clear. Here, if A alters his course without any intention to run down the boat C and in good faith 
for the purpose of avoiding the danger to the passengers in the boat B, he is not guilty of an offence, 
though he may run down the boat C by doing an act which he knew was likely to cause that effect, if it be 
found as a matter of fact that the danger which he intended to avoid was such as to excuse him in 
incurring the risk of running down the boat C. 
(b) A, in a great fire, pulls down houses in order to prevent the conflagration from spreading. He does 
this with the intention in good faith of saving human life or property. Here, if it be found that the harm to 
be prevented was of such a nature and so imminent as to excuse A’s act, A is not guilty of the offence."
BNS_2023_s20,BNS_2023,BNS_2023_CH_III,20,Act of a child under seven years of age,"Act of a child under seven years of age.—Nothing is an offence which is done by a child under 
seven years of age."
BNS_2023_s21,BNS_2023,BNS_2023_CH_III,21,Act of a child above seven and under twelve years of age of immature understanding,"Act of a child above seven and under twelve years of age of immature understanding.—
Nothing is an offence which is done by a child above seven years of age and under twelve years of age, 
who has not attained sufficient maturity of understanding to judge of the nature and consequences of his 
conduct on that occasion."
BNS_2023_s22,BNS_2023,BNS_2023_CH_III,22,Act of a person of unsound mind,"Act of a person of unsound mind.—Nothing is an offence which is done by a person who, at the 
time of doing it, by reason of unsoundness of mind, is incapable of knowing the nature of the act, or that 
he is doing what is either wrong or contrary to law."
BNS_2023_s23,BNS_2023,BNS_2023_CH_III,23,Act of a person incapable of judgment by reason of intoxication caused against his will,"Act of a person incapable of judgment by reason of intoxication caused against his will.—
Nothing is an offence which is done by a person who, at the time of doing it, is, by reason of intoxication, 
incapable of knowing the nature of the act, or that he is doing what is either wrong, or contrary to law; 
provided that the thing which intoxicated him was administered to him without his knowledge or against 
his will."
BNS_2023_s24,BNS_2023,BNS_2023_CH_III,24,Offence requiring a particular intent or knowledge committed by one who is intoxicated,"Offence requiring a particular intent or knowledge committed by one who is intoxicated.—
In cases where an act done is not an offence unless done with a particular knowledge or intent, a person 
who does the act in a state of intoxication shall be liable to be dealt with as if he had the same knowledge 
as he would have had if he had not been intoxicated, unless the thing which intoxicated him was 
administered to him without his knowledge or against his will."
BNS_2023_s25,BNS_2023,BNS_2023_CH_III,25,"Act not intended and not known to be likely to cause death or grievous hurt, done by","Act not intended and not known to be likely to cause death or grievous hurt, done by 
consent.—Nothing which is not intended to cause death, or grievous hurt, and which is not known by the 
doer to be likely to cause death or grievous hurt, is an offence by reason of any harm which it may cause, 
or be intended by the doer to cause, to any person, above eighteen years of age, who has given consent, 
whether express or implied, to suffer that harm; or by reason of any harm which it may be known by the 
doer to be likely to cause to any such person who has consented to take the risk of that harm. 
A and Z agree to fence with each other for amusement. This agreement implies the consent of each to 
suffer any harm which, in the course of such fencing, may be caused without foul play; and if A, while 
playing fairly, hurts Z, A commits no offence."
BNS_2023_s26,BNS_2023,BNS_2023_CH_III,26,"Act not intended to cause death, done by consent in good faith for person’s benefit","Act not intended to cause death, done by consent in good faith for person’s benefit.—
Nothing, which is not intended to cause death, is an offence by reason of any harm which it may cause, or 
be intended by the doer to cause, or be known by the doer to be likely to cause, to any person for whose 
benefit it is done in good faith, and who has given a consent, whether express or implied, to suffer that 
harm, or to take the risk of that harm. 
A, a surgeon, knowing that a particular operation is likely to cause the death of Z, who suffers under 
the painful complaint, but not intending to cause Z’s death, and intending, in good faith, Z’s benefit, 
performs that operation on Z, with Z’s consent. A has committed no offence."
BNS_2023_s27,BNS_2023,BNS_2023_CH_III,27,"Act done in good faith for benefit of child or person of unsound mind, by, or by consent of","Act done in good faith for benefit of child or person of unsound mind, by, or by consent of 
guardian.—Nothing which is done in good faith for the benefit of a person under twelve years of age, or 
person of unsound mind, by, or by consent, either express or implied, of the guardian or other person 
having lawful charge of that person, is an offence by reason of any harm which it may cause, or be 
intended by the doer to cause or be known by the doer to be likely to cause to that person: 
Provided that this exception shall not extend to— 
(a) the intentional causing of death, or to the attempting to cause death; 
(b) the doing of anything which the person doing it knows to be likely to cause death, for any 
purpose other than the preventing of death or grievous hurt, or the curing of any grievous disease or 
infirmity; 
(c) the voluntary causing of grievous hurt, or to the attempting to cause grievous hurt, unless it be 
for the purpose of preventing death or grievous hurt, or the curing of any grievous disease or 
infirmity; 
(d) the abetment of any offence, to the committing of which offence it would not extend. 
A, in good faith, for his child’s benefit without his child’s consent, has his child cut for the stone by a 
surgeon knowing it to be likely that the operation will cause the child’s death, but not intending to cause 
the child’s death. A is within the exception, in as much as his object was the cure of the child."
BNS_2023_s28,BNS_2023,BNS_2023_CH_III,28,Consent known to be given under fear or misconception,"Consent known to be given under fear or misconception.—A consent is not such a consent as 
is intended by any section of this Sanhita,— 
(a) if the consent is given by a person under fear of injury, or under a misconception of fact, and 
if the person doing the act knows, or has reason to believe, that the consent was given in consequence 
of such fear or misconception; or 
(b) if the consent is given by a person who, from unsoundness of mind, or intoxication, is unable 
to understand the nature and consequence of that to which he gives his consent; or 
(c) unless the contrary appears from the context, if the consent is given by a person who is under 
twelve years of age.

A, a surgeon, in good faith, communicates to a patient his opinion that he cannot live. The patient 
dies in consequence of the shock. A has committed no offence, though he knew it to be likely that the 
communication might cause the patient’s death."
BNS_2023_s32,BNS_2023,BNS_2023_CH_III,32,Act to which a person is compelled by threats,"Act to which a person is compelled by threats.—Except murder, and offences against the State 
punishable with death, nothing is an offence which is done by a person who is compelled to do it by 
threats, which, at the time of doing it, reasonably cause the apprehension that instant death to that person 
will otherwise be the consequence: 
Provided that the person doing the act did not of his own accord, or from a reasonable apprehension 
of harm to himself short of instant death, place himself in the situation by which he became subject to 
such constraint. 
Explanation 1.—A person who, of his own accord, or by reason of a threat of being beaten, joins a 
gang of dacoits, knowing their character, is not entitled to the benefit of this exception, on the ground of 
his having been compelled by his associates to do anything that is an offence by law. 
Explanation 2.—A person seized by a gang of dacoits, and forced, by threat of instant death, to do a 
thing which is an offence by law; for example, a smith compelled to take his tools and to force the door 
of a house for the dacoits to enter and plunder it, is entitled to the benefit of this exception."
BNS_2023_s33,BNS_2023,BNS_2023_CH_III,33,Act causing slight harm,"Act causing slight harm.—Nothing is an offence by reason that it causes, or that it is intended to 
cause, or that it is known to be likely to cause, any harm, if that harm is so slight that no person of 
ordinary sense and temper would complain of such harm. 
Of right of private defence"
BNS_2023_s34,BNS_2023,BNS_2023_CH_III,34,Things done in private defence,"Things done in private defence.—Nothing is an offence which is done in the exercise of the 
right of private defence."
BNS_2023_s35,BNS_2023,BNS_2023_CH_III,35,Right of private defence of body and of property,"Right of private defence of body and of property.—Every person has a right, subject to the 
restrictions contained in section 37, to defend— 
(a) his own body, and the body of any other person, against any offence affecting the human 
body; 
(b) the property, whether movable or immovable, of himself or of any other person, against any 
act which is an offence falling under the definition of theft, robbery, mischief or criminal trespass, or 
which is an attempt to commit theft, robbery, mischief or criminal trespass."
BNS_2023_s36,BNS_2023,BNS_2023_CH_III,36,"Right of private defence against act of a person of unsound mind, etc","Right of private defence against act of a person of unsound mind, etc.—When an act, which 
would otherwise be a certain offence, is not that offence, by reason of the youth, the want of maturity of 
understanding, the unsoundness of mind or the intoxication of the person doing that act, or by reason of 
any misconception on the part of that person, every person has the same right of private defence against 
that act which he would have if the act were that offence. 
(a) Z, a person of unsound mind, attempts to kill A; Z is guilty of no offence. But A has the same 
right of private defence which he would have if Z were sane. 
(b) A enters by night a house which he is legally entitled to enter. Z, in good faith, taking A for a 
house-breaker, attacks A. Here Z, by attacking A under this misconception, commits no offence. But A 
has the same right of private defence against Z, which he would have if Z were not acting under that 
misconception."
BNS_2023_s37,BNS_2023,BNS_2023_CH_III,37,Acts against which there is no right of private defence,"Acts against which there is no right of private defence.—(1) There is no right of private 
defence, — 
(a) against an act which does not reasonably cause the apprehension of death or of grievous hurt, 
if done, or attempted to be done, by a public servant acting in good faith under colour of his office, 
though that act, may not be strictly justifiable by law;

(b) against an act which does not reasonably cause the apprehension of death or of grievous hurt, 
if done, or attempted to be done, by the direction of a public servant acting in good faith under colour 
of his office, though that direction may not be strictly justifiable by law; 
(c) in cases in which there is time to have recourse to the protection of the public authorities. 
(2) The right of private defence in no case extends to the inflicting of more harm than it is necessary 
to inflict for the purpose of defence. 
Explanation 1.—A person is not deprived of the right of private defence against an act done, or 
attempted to be done, by a public servant, as such, unless he knows or has reason to believe, that the 
person doing the act is such public servant. 
Explanation 2.—A person is not deprived of the right of private defence against an act done, or 
attempted to be done, by the direction of a public servant, unless he knows, or has reason to believe, that 
the person doing the act is acting by such direction, or unless such person states the authority under which 
he acts, or if he has authority in writing, unless he produces such authority, if demanded."
